Timestamp,Function,Best_Fitness,w,c1,c2
2026-04-27 19:22:44,rosenbrock,497.2035929561637,0.65,1.0,1.0
2026-04-27 19:22:44,ackley,3.8114832218417054,0.4,3.0,1.0
2026-04-27 19:23:18,sphere,3.634789752214272,0.65,1.0,1.0
2026-04-27 19:23:18,rastrigin,129.99930692550342,0.4,3.0,1.0
2026-04-27 19:23:18,rosenbrock,2913.303522812297,0.65,1.0,1.0
2026-04-27 19:23:18,ackley,3.160470249888552,0.65,1.0,1.0
2026-04-27 19:23:38,sphere,4.52742993680234,0.65,1.0,1.0
2026-04-27 19:23:38,rastrigin,113.63793179159936,0.65,1.0,1.0
2026-04-27 19:23:38,rosenbrock,756.3265556894199,0.4,3.0,1.0
2026-04-27 19:23:38,ackley,2.2950496125884645,0.4,3.0,1.0
2026-04-27 19:24:47,sphere,5.31044463682976,0.65,1.0,1.0
2026-04-27 19:24:47,rastrigin,128.62073110252422,0.65,1.0,1.0
2026-04-27 19:24:47,rosenbrock,284.306089935273,0.4,3.0,1.0
2026-04-27 19:24:47,ackley,2.763464807221244,0.4,3.0,1.0
2026-04-27 19:34:03,sphere,6.936730849741373,0.65,3.0,1.0
2026-04-27 19:34:03,rastrigin,132.46890501825806,0.65,1.0,1.0
2026-04-27 19:34:03,rosenbrock,1428.6809584384057,0.65,1.0,1.0
2026-04-27 19:34:03,ackley,2.7377324329636115,0.65,1.0,1.0
2026-04-27 19:43:57,sphere,6.988008674248756,0.65,1.0,1.0
2026-04-27 19:43:57,rastrigin,99.78317899807776,0.65,1.0,1.0
2026-04-27 19:43:57,rosenbrock,947.4696240287556,0.65,1.0,1.0
2026-04-27 19:43:57,ackley,3.56384235103538,0.4,1.0,3.0
2026-04-27 20:05:28,sphere,5.514249938962192,0.4,3.0,1.0
2026-04-27 20:05:28,rastrigin,104.46665584043387,0.65,1.0,1.0
2026-04-27 20:05:28,rosenbrock,1379.8070306865636,0.65,1.0,1.0
2026-04-27 20:05:28,ackley,2.7578115079135412,0.4,3.0,1.0
2026-04-27 20:10:03,sphere,10.861769633137627,0.4,3.0,1.0
2026-04-27 20:10:03,rastrigin,108.875004512043,0.65,1.0,1.0
2026-04-27 20:10:03,rosenbrock,234.6424766828461,0.4,3.0,1.0
2026-04-27 20:10:03,ackley,2.7153612551484483,0.4,3.0,1.0
2026-04-27 20:14:06,sphere,4.438231230891503,0.65,1.0,1.0
2026-04-27 20:14:06,rastrigin,118.73809531220434,0.4,1.0,1.0
2026-04-27 20:14:06,rosenbrock,537.2524017671396,0.65,1.0,1.0
2026-04-27 20:14:06,ackley,3.7475725941839255,0.4,3.0,1.0
2026-04-27 22:32:40,sphere,2.316751620361331,0.65,1.0,1.0
2026-04-27 22:32:40,rastrigin,176.89603566154884,0.4,1.0,1.0
2026-04-27 22:32:40,rosenbrock,702.7417581998152,0.65,1.0,1.0
2026-04-27 22:32:40,ackley,2.405695606890579,0.4,3.0,1.0
2026-04-27 22:34:00,sphere,4.7014924690295725,0.65,1.0,1.0
2026-04-27 22:34:00,rastrigin,153.58231354694055,0.4,1.0,1.0
2026-04-27 22:34:00,rosenbrock,687.8702196533078,0.65,1.0,1.0
2026-04-27 22:34:00,ackley,2.6248379559729824,0.4,3.0,1.0
2026-04-27 22:35:02,sphere,8.364409433812813,0.4,3.0,1.0
2026-04-27 22:35:02,rastrigin,135.41216266883643,0.65,1.0,1.0
2026-04-27 22:35:02,rosenbrock,1041.2137481566745,0.65,1.0,1.0
2026-04-27 22:35:02,ackley,2.7023958778607846,0.4,3.0,1.0
2026-05-22 13:47:38,sphere,5.1843642443076545,0.65,1.0,1.0
2026-05-22 13:47:38,rastrigin,114.7468947307095,0.4,3.0,1.0
2026-05-22 13:47:38,rosenbrock,491.84150272198286,0.4,3.0,1.0
2026-05-22 13:47:38,ackley,3.152672278298319,0.4,3.0,1.0
2026-05-22 13:47:45,sphere,8.398814469574368e-37,0.4,1.0,1.0
2026-05-22 13:47:45,rastrigin,0.0,0.4,3.0,1.0
2026-05-22 13:47:45,rosenbrock,1.3082332172302216e-14,0.4,1.0,1.0
2026-05-22 13:47:45,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-05-22 13:47:48,sphere,1.0429386912746856e-10,0.65,1.0,1.0
2026-05-22 13:47:48,rastrigin,8.368755729383196,0.4,3.0,1.0
2026-05-22 13:47:48,rosenbrock,1.9652637241409319,0.4,1.0,3.0
2026-05-22 13:47:48,ackley,3.753144804052866e-05,0.65,1.0,1.0
2026-05-22 13:47:55,sphere,5.001813596566793,0.4,3.0,1.0
2026-05-22 13:47:55,rastrigin,86.14400941485616,0.4,3.0,1.0
2026-05-22 13:47:55,rosenbrock,1269.216276906059,0.4,1.0,3.0
2026-05-22 13:47:55,ackley,3.430613286186724,0.4,3.0,1.0
2026-05-22 14:03:32,sphere,5.776537716632776,0.65,1.0,1.0
2026-05-22 14:03:32,rastrigin,102.16394517578303,0.4,1.0,1.0
2026-05-22 14:03:32,rosenbrock,2856.9903560160606,0.65,1.0,1.0
2026-05-22 14:03:32,ackley,2.5725551205624027,0.4,3.0,1.0
2026-05-22 14:03:51,sphere,2.2250873441552953e-36,0.4,1.0,1.0
2026-05-22 14:03:51,rastrigin,0.0,0.4,1.0,1.0
2026-05-22 14:03:51,rosenbrock,1.2841117670103081e-09,0.65,1.0,1.0
2026-05-22 14:03:51,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-05-22 14:03:54,sphere,7.496421033928627e-11,0.65,1.0,1.0
2026-05-22 14:03:54,rastrigin,8.070523674185068,0.4,3.0,1.0
2026-05-22 14:03:54,rosenbrock,5.048288249737199,0.4,1.0,1.0
2026-05-22 14:03:54,ackley,0.027763501813133917,0.4,1.0,3.0
2026-05-22 14:04:01,sphere,3.2320197841478713,0.65,1.0,1.0
2026-05-22 14:04:01,rastrigin,84.36467745910008,0.4,3.0,1.0
2026-05-22 14:04:01,rosenbrock,992.5431667208243,0.65,1.0,1.0
2026-05-22 14:04:01,ackley,2.962870635678119,0.4,3.0,1.0
2026-05-22 14:04:16,sphere,10.100895692785764,0.65,3.0,1.0
2026-05-22 14:04:16,rastrigin,82.50061820122536,0.4,3.0,1.0
2026-05-22 14:04:16,rosenbrock,386.14111617568835,0.4,3.0,1.0
2026-05-22 14:04:16,ackley,2.869199404351033,0.4,3.0,1.0
2026-05-23 19:16:00,sphere,4.492233715628402,0.65,1.0,1.0
2026-05-23 19:16:00,rastrigin,102.37997251567361,0.4,3.0,1.0
2026-05-23 19:16:00,rosenbrock,1295.9853339578965,0.4,3.0,1.0
2026-05-23 19:16:00,ackley,2.9064181987489666,0.4,3.0,1.0
2026-05-23 19:44:48,sphere,7.477343195061899,0.4,3.0,1.0
2026-05-23 19:44:48,rastrigin,115.14283674540951,0.4,3.0,1.0
2026-05-23 19:44:48,rosenbrock,517.8376631330337,0.4,3.0,1.0
2026-05-23 19:44:48,ackley,3.618324080574912,0.65,1.0,1.0
2026-05-23 19:45:10,sphere,1.1029152990444463e-36,0.4,1.0,1.0
2026-05-23 19:45:10,rastrigin,0.0,0.4,1.0,1.0
2026-05-23 19:45:10,rosenbrock,1.1054228127855741e-08,0.65,1.0,1.0
2026-05-23 19:45:10,ackley,4.440892098500626e-16,0.4,1.0,1.0
2026-05-23 19:45:13,sphere,1.0135356583761846e-08,0.65,1.0,1.0
2026-05-23 19:45:13,rastrigin,12.496868363157205,0.4,3.0,1.0
2026-05-23 19:45:13,rosenbrock,7.674507571739711,0.65,1.0,1.0
2026-05-23 19:45:13,ackley,0.00012961671689426524,0.4,3.0,1.0
2026-05-23 19:45:24,sphere,10.290527780324958,0.65,1.0,1.0
2026-05-23 19:45:24,rastrigin,171.30824027611837,0.65,1.0,1.0
2026-05-23 19:45:24,rosenbrock,1601.4490706196875,0.4,1.0,3.0
2026-05-23 19:45:24,ackley,3.5228388635292913,0.4,3.0,1.0
2026-05-24 12:03:51,sphere,1.007894978026024,0.65,1.0,1.0
2026-05-24 12:03:51,rastrigin,106.50740225787013,0.65,1.0,1.0
2026-05-24 12:03:51,rosenbrock,723.9928380168138,0.4,3.0,1.0
2026-05-24 12:03:51,ackley,3.042664930371338,0.4,3.0,1.0
2026-05-24 12:04:24,sphere,7.692484110098013,0.65,1.0,1.0
2026-05-24 12:04:24,rastrigin,176.25498649640673,0.65,1.0,1.0
2026-05-24 12:04:24,rosenbrock,1370.7837290236293,0.4,3.0,1.0
2026-05-24 12:04:24,ackley,3.4786733956313864,0.4,3.0,1.0
2026-05-24 12:05:32,sphere,1.676672647422277e-56,0.65,1.0,1.0
2026-05-24 12:05:32,rastrigin,1.9899190634377533,0.4,3.0,1.0
2026-05-24 12:05:32,rosenbrock,1.8359679992312754,0.9,1.0,1.0
2026-05-24 12:05:32,ackley,3.9968028886505635e-15,0.4,1.0,3.0
2026-05-24 12:06:18,sphere,1.4319467469613452e-59,0.65,1.0,1.0
2026-05-24 12:06:18,rastrigin,0.9949591952456842,0.4,3.0,1.0
2026-05-24 12:06:18,rosenbrock,1.8359684169142771,0.4,1.0,3.0
2026-05-24 12:06:18,ackley,3.9968028886505635e-15,0.65,1.0,1.0
2026-05-24 12:06:45,sphere,1.4487997786883625e-51,0.65,1.0,1.0
2026-05-24 12:06:45,rastrigin,3.9798362514183623,0.4,3.0,1.0
